Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Month,Week day,Week,Time,Payment,cogs,gross margin percentage,gross income,Rating
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.78,457.44,1-Jan-2019-Tue,Jan,Tue,1,0.44375,Credit card,435.66,4.76,21.78,6.9
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.04,399.76,1-Jan-2019-Tue,Jan,Tue,1,0.615972222,Cash,380.72,4.76,19.04,5.7
891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.41,470.67,1-Jan-2019-Tue,Jan,Tue,1,0.796527778,Cash,448.26,4.76,22.41,6.7
493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,36.98,10,18.49,388.29,1-Jan-2019-Tue,Jan,Tue,1,0.825,Credit card,369.8,4.76,18.49,7
556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6.32,132.76,1-Jan-2019-Tue,Jan,Tue,1,0.660416667,Cash,126.44,4.76,6.32,8.5
133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.29,132.03,1-Jan-2019-Tue,Jan,Tue,1,0.488194444,Cash,125.74,4.76,6.29,5
651-88-7328,A,Yangon,Normal,Female,Fashion accessories,65.74,9,29.58,621.24,1-Jan-2019-Tue,Jan,Tue,1,0.579861111,Cash,591.66,4.76,29.58,7.7
182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,4,5.41,113.57,1-Jan-2019-Tue,Jan,Tue,1,0.851388889,Ewallet,108.16,4.76,5.41,6.9
416-17-9926,A,Yangon,Member,Female,Electronic accessories,74.22,10,37.11,779.31,1-Jan-2019-Tue,Jan,Tue,1,0.6125,Credit card,742.2,4.76,37.11,4.3
271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22,6,8.77,184.09,1-Jan-2019-Tue,Jan,Tue,1,0.486111111,Ewallet,175.32,4.76,8.77,5
770-42-8960,B,Mandalay,Normal,Male,Food and beverages,21.12,8,8.45,177.41,1-Jan-2019-Tue,Jan,Tue,1,0.813194444,Cash,168.96,4.76,8.45,6.3
746-04-1077,B,Mandalay,Member,Female,Food and beverages,84.63,10,42.32,888.62,1-Jan-2019-Tue,Jan,Tue,1,0.483333333,Credit card,846.3,4.76,42.32,9
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.12,44.59,2-Jan-2019-Wed,Jan,Wed,1,0.70625,Cash,42.47,4.76,2.12,5.7
